Horizonte,Corte,Fin entrenamiento,Fin validación,Dataset,Modelo,Muestras entrenamiento,Muestras validación,MAE modelo,RMSE modelo,R2 modelo,MAE persistencia,MAE media 7 días,Mejora frente a persistencia (%),Mejora frente a media 7 días (%)
1,Corte 1,2021-09-30,2021-12-31,Operativo,Regresión lineal,540,92,20.103404194461167,26.961224010991767,0.5073554901237702,23.27934782608696,29.561024844720503,13.6427517443887,31.993547923114157
1,Corte 2,2021-12-31,2022-03-31,Operativo,Regresión lineal,632,90,17.179817268782905,21.6679962189082,0.6346804287131,23.078888888888887,28.59857142857143,25.56046631406954,39.927708236435215
1,Corte 3,2022-03-31,2022-06-30,Operativo,Regresión lineal,722,91,18.789831465863717,23.504492489553325,0.5611796977763984,20.568131868131868,29.931240188383047,8.645901405481741,37.22334474748409
1,Corte 4,2022-06-30,2022-09-30,Operativo,Regresión lineal,813,92,12.89360534909267,16.52374678907746,0.646821964631235,14.246739130434781,19.155590062111802,9.497849079383093,32.690116528463555
3,Corte 1,2021-09-30,2021-12-31,Operativo,Regresión lineal,536,92,29.72131900063711,37.9807527671335,0.02235412137173065,38.277173913043484,35.95854037267082,22.35236836408878,17.345591081817428
3,Corte 2,2021-12-31,2022-03-31,Operativo,Regresión lineal,628,90,31.128209400443303,39.579349925399,-0.2189131172419816,44.86222222222222,30.778095238095244,30.61375950961221,-1.1375433068213723
3,Corte 3,2022-03-31,2022-06-30,Operativo,Regresión lineal,718,91,29.36461045668505,37.94230869136647,-0.143490238803748,39.44395604395604,34.5690737833595,25.553586907050214,15.055258232517993
3,Corte 4,2022-06-30,2022-09-30,Operativo,Regresión lineal,809,92,20.015455220877083,25.796283248415378,0.1392225169308704,26.129347826086953,23.160093167701856,23.39856565078864,13.577829432958238
7,Corte 1,2021-09-30,2021-12-31,Estabilidad,Random Forest B,355,69,32.555327000433365,41.718021601653554,-0.0655228926525886,43.952173913043474,46.17826086956522,25.930109703237957,29.500751246590024
7,Corte 2,2021-12-31,2022-03-31,Estabilidad,Random Forest B,424,78,36.07801814790838,43.63063712510248,-1.1177894807220152,32.18846153846153,32.94542124542125,-12.083698392354894,-9.508443917445728
7,Corte 3,2022-03-31,2022-06-30,Estabilidad,Random Forest B,502,70,31.293256363530393,39.869131032281395,-0.12214573220669611,42.701428571428565,40.641020408163264,26.716137116619453,23.000810389975477
7,Corte 4,2022-06-30,2022-09-30,Estabilidad,Random Forest B,572,85,22.623624678917352,27.684918481462358,0.057288822810660056,27.419999999999998,29.466554621848744,17.4922513533284,23.222701231101933
15,Corte 1,2021-09-30,2021-12-31,Estabilidad,Regresión lineal,341,70,31.526535510646926,38.80262918800608,-0.12251756943980907,44.60571428571428,37.79897959183673,29.321756157273725,16.594215370153634
15,Corte 2,2021-12-31,2022-03-31,Estabilidad,Regresión lineal,411,77,44.13931020891902,52.59906925933499,-1.1250552762443404,35.26233766233766,36.76029684601113,-25.17408979400284,-20.073323656276703
15,Corte 3,2022-03-31,2022-06-30,Estabilidad,Regresión lineal,488,70,28.675205351007644,38.3434818599677,-0.36560119318939943,29.939999999999998,29.495306122448977,4.2244310253585615,2.7804450241564056
15,Corte 4,2022-06-30,2022-09-30,Estabilidad,Regresión lineal,558,85,22.736672963203095,28.85701091502377,-0.046817645297091426,33.74470588235294,25.742521008403358,32.62151093427246,11.676587713452921
30,Corte 1,2021-09-30,2021-12-31,Operativo,Random Forest A,482,92,30.595764173724827,39.423725167570424,-0.05334285770113145,42.09673913043478,36.65978260869566,27.320346407532227,16.541337682489292
30,Corte 2,2021-12-31,2022-03-31,Operativo,Random Forest A,574,90,46.38704509299343,55.67105740017015,-1.411539487135534,43.56111111111111,34.76412698412698,-6.487286273929575,-33.43365450877964
30,Corte 3,2022-03-31,2022-06-30,Operativo,Random Forest A,664,91,31.085470870399458,38.33864956769914,-0.16750454041880602,48.020879120879115,38.37456828885401,35.266760127088695,18.994604352517722
30,Corte 4,2022-06-30,2022-09-30,Operativo,Random Forest A,755,92,23.176365078580826,27.546024645143774,0.018490545407636727,33.22934782608696,28.51366459627329,30.25332546434739,18.718392017524273
