Nivel producción,Muestras,Biogás_medio_CFM,MAE_CFM,Error_medio_CFM,Horizonte
Bajo,61,72.54098360655738,20.079911356743626,-14.272607149743632,1
Medio,60,114.74833333333332,18.079160158915727,1.5016251079882414,1
Alto,61,165.09016393442624,23.542518660587945,20.43273650875693,1
Bajo,61,72.54098360655738,32.580194265382914,-31.121511719988305,3
Medio,60,114.74833333333332,22.368536982243835,8.698459050153724,3
Alto,61,165.09016393442624,53.45018195473151,53.352852449278295,3
Bajo,61,72.54098360655738,28.051308348773617,-26.15475741058695,7
Medio,60,114.74833333333332,18.308250228405804,11.867120704733539,7
Alto,61,165.09016393442624,54.52107487892694,54.52107487892694,7
Bajo,61,72.54098360655738,26.713510911921865,-16.12558656863517,15
Medio,60,114.74833333333332,26.86076327143896,19.813306601849266,15
Alto,61,165.09016393442624,68.8101448790479,68.8101448790479,15
Bajo,61,72.54098360655738,26.79386935703639,-26.20442053580298,30
Medio,60,114.74833333333332,17.17249418109668,14.177677085858585,30
Alto,61,165.09016393442624,59.88073165472049,59.88073165472049,30
