Horizonte,Corte,Dataset,Modelo,Variable,Importancia_MAE,Posición,Aparece_top_5
1,Corte 1,Operativo,Regresión lineal,Biogas_actual,18.380754231424614,1,1
1,Corte 1,Operativo,Regresión lineal,Biogas_lag_1,6.807437177350428,2,1
1,Corte 1,Operativo,Regresión lineal,Biogas_media_7d,2.709644966944983,3,1
1,Corte 1,Operativo,Regresión lineal,V-HSW_gal,0.8864697544348459,4,1
1,Corte 1,Operativo,Regresión lineal,Biogas_media_3d,0.7217855083931134,5,1
1,Corte 1,Operativo,Regresión lineal,Biogas_lag_7,0.687351495879615,6,0
1,Corte 1,Operativo,Regresión lineal,Biogas_lag_3,0.3289940353055229,7,0
1,Corte 1,Operativo,Regresión lineal,Biogas_lag_2,0.13564224959977836,8,0
1,Corte 1,Operativo,Regresión lineal,Dig1-pH,0.10376591496172409,9,0
1,Corte 1,Operativo,Regresión lineal,Biogas_desv_3d,0.08483990348090273,10,0
1,Corte 1,Operativo,Regresión lineal,Dig1-T_degF,0.043093894047920855,11,0
1,Corte 1,Operativo,Regresión lineal,V-TWAS_gal,0.03320723041307616,12,0
1,Corte 1,Operativo,Regresión lineal,TWAS-VS_percent,0.004523290752075582,13,0
1,Corte 1,Operativo,Regresión lineal,Dig2-T_degF,-0.0005322689412025738,14,0
1,Corte 1,Operativo,Regresión lineal,Dig2-pH,-0.0012101823118698008,15,0
1,Corte 1,Operativo,Regresión lineal,BOD-influent_mgL,-0.0017419762231916992,16,0
1,Corte 1,Operativo,Regresión lineal,Biogas_desv_7d,-0.01795137700095282,17,0
1,Corte 1,Operativo,Regresión lineal,V-PS_gal,-0.060707071033129265,18,0
1,Corte 1,Operativo,Regresión lineal,SRT,-0.08357465466647156,19,0
1,Corte 1,Operativo,Regresión lineal,Q-influent_MGD,-0.15331535365560853,20,0
1,Corte 2,Operativo,Regresión lineal,Biogas_actual,16.018933284149096,1,1
1,Corte 2,Operativo,Regresión lineal,Biogas_lag_1,7.8741231733577735,2,1
1,Corte 2,Operativo,Regresión lineal,V-HSW_gal,2.3375981094944835,3,1
1,Corte 2,Operativo,Regresión lineal,Biogas_media_7d,2.2932600916665336,4,1
1,Corte 2,Operativo,Regresión lineal,Biogas_lag_3,0.9406924453221421,5,1
1,Corte 2,Operativo,Regresión lineal,Biogas_lag_2,0.6129142178821028,6,0
1,Corte 2,Operativo,Regresión lineal,Biogas_lag_7,0.41410542938685924,7,0
1,Corte 2,Operativo,Regresión lineal,Dig1-T_degF,0.2911744710070579,8,0
1,Corte 2,Operativo,Regresión lineal,V-TWAS_gal,0.20214306491056888,9,0
1,Corte 2,Operativo,Regresión lineal,Dig1-pH,0.12909071933787147,10,0
1,Corte 2,Operativo,Regresión lineal,BOD-influent_mgL,-0.0006960101701977805,11,0
1,Corte 2,Operativo,Regresión lineal,TWAS-VS_percent,-0.013249404873894833,12,0
1,Corte 2,Operativo,Regresión lineal,V-PS_gal,-0.01403568252073555,13,0
1,Corte 2,Operativo,Regresión lineal,Dig2-pH,-0.018783653331671247,14,0
1,Corte 2,Operativo,Regresión lineal,Biogas_desv_7d,-0.02230507117318723,15,0
1,Corte 2,Operativo,Regresión lineal,SRT,-0.03203687919476721,16,0
1,Corte 2,Operativo,Regresión lineal,Dig2-T_degF,-0.04942562576952696,17,0
1,Corte 2,Operativo,Regresión lineal,Q-influent_MGD,-0.061724526409829394,18,0
1,Corte 2,Operativo,Regresión lineal,Biogas_desv_3d,-0.1394401673865005,19,0
1,Corte 2,Operativo,Regresión lineal,Biogas_media_3d,-0.1857744665214632,20,0
1,Corte 3,Operativo,Regresión lineal,Biogas_actual,16.4120047918934,1,1
1,Corte 3,Operativo,Regresión lineal,Biogas_lag_1,4.503009804453508,2,1
1,Corte 3,Operativo,Regresión lineal,Biogas_media_7d,3.23111750791218,3,1
1,Corte 3,Operativo,Regresión lineal,V-HSW_gal,1.5501297472672468,4,1
1,Corte 3,Operativo,Regresión lineal,Biogas_lag_7,1.0442718164508904,5,1
1,Corte 3,Operativo,Regresión lineal,Biogas_lag_3,0.5232835711066841,6,0
1,Corte 3,Operativo,Regresión lineal,Biogas_media_3d,0.5219007089623879,7,0
1,Corte 3,Operativo,Regresión lineal,V-TWAS_gal,0.35065380364085713,8,0
1,Corte 3,Operativo,Regresión lineal,Biogas_lag_2,0.1119882625916027,9,0
1,Corte 3,Operativo,Regresión lineal,Dig1-T_degF,0.10181948538171567,10,0
1,Corte 3,Operativo,Regresión lineal,Dig2-pH,0.08970500948298792,11,0
1,Corte 3,Operativo,Regresión lineal,Biogas_desv_3d,0.07488247291297867,12,0
1,Corte 3,Operativo,Regresión lineal,BOD-influent_mgL,0.026371283911684883,13,0
1,Corte 3,Operativo,Regresión lineal,TWAS-VS_percent,-0.013650409596446877,14,0
1,Corte 3,Operativo,Regresión lineal,SRT,-0.04423113493665483,15,0
1,Corte 3,Operativo,Regresión lineal,Q-influent_MGD,-0.0625920402347198,16,0
1,Corte 3,Operativo,Regresión lineal,V-PS_gal,-0.06426911407413485,17,0
1,Corte 3,Operativo,Regresión lineal,Dig2-T_degF,-0.07644457277911769,18,0
1,Corte 3,Operativo,Regresión lineal,Dig1-pH,-0.07694845516013019,19,0
1,Corte 3,Operativo,Regresión lineal,Biogas_desv_7d,-0.09292712620554937,20,0
1,Corte 4,Operativo,Regresión lineal,Biogas_actual,13.357746841639345,1,1
1,Corte 4,Operativo,Regresión lineal,Biogas_lag_1,5.51134212361046,2,1
1,Corte 4,Operativo,Regresión lineal,Biogas_media_7d,2.8246996053691675,3,1
1,Corte 4,Operativo,Regresión lineal,V-HSW_gal,1.3128776833624975,4,1
1,Corte 4,Operativo,Regresión lineal,Biogas_lag_7,0.4287072153583207,5,1
1,Corte 4,Operativo,Regresión lineal,Biogas_media_3d,0.14736711558762144,6,0
1,Corte 4,Operativo,Regresión lineal,BOD-influent_mgL,0.029907297456315263,7,0
1,Corte 4,Operativo,Regresión lineal,Biogas_desv_7d,0.026348956268996204,8,0
1,Corte 4,Operativo,Regresión lineal,TWAS-VS_percent,0.02293527846699739,9,0
1,Corte 4,Operativo,Regresión lineal,Biogas_lag_3,0.01009753360740646,10,0
1,Corte 4,Operativo,Regresión lineal,SRT,-0.0025185703369523084,11,0
1,Corte 4,Operativo,Regresión lineal,Dig2-T_degF,-0.005033359465278053,12,0
1,Corte 4,Operativo,Regresión lineal,Dig2-pH,-0.006447101638030972,13,0
1,Corte 4,Operativo,Regresión lineal,Biogas_lag_2,-0.00791667348462326,14,0
1,Corte 4,Operativo,Regresión lineal,Biogas_desv_3d,-0.036629189170509946,15,0
1,Corte 4,Operativo,Regresión lineal,Dig1-T_degF,-0.06226190435759804,16,0
1,Corte 4,Operativo,Regresión lineal,Q-influent_MGD,-0.09173675635823209,17,0
1,Corte 4,Operativo,Regresión lineal,V-TWAS_gal,-0.13868161900787115,18,0
1,Corte 4,Operativo,Regresión lineal,V-PS_gal,-0.30624089560681933,19,0
1,Corte 4,Operativo,Regresión lineal,Dig1-pH,-0.349485282459867,20,0
3,Corte 1,Operativo,Regresión lineal,Biogas_actual,3.348732960915308,1,1
3,Corte 1,Operativo,Regresión lineal,Biogas_lag_7,2.527394387385713,2,1
3,Corte 1,Operativo,Regresión lineal,Biogas_lag_1,1.4411950415378598,3,1
3,Corte 1,Operativo,Regresión lineal,Biogas_media_7d,1.230392473229972,4,1
3,Corte 1,Operativo,Regresión lineal,Biogas_desv_3d,0.902315275783328,5,1
3,Corte 1,Operativo,Regresión lineal,Biogas_lag_2,0.575399242659094,6,0
