Horizonte,Dataset,Modelo,Muestras,MAE,RMSE,R2,MAE persistencia,RMSE persistencia,R2 persistencia,Mejora MAE frente a persistencia (%),MAE media 7 días,RMSE media 7 días,R2 media 7 días,Fuente
1,Operativo,Regresión lineal,182,20.580867256000932,26.445489451124537,0.6003088944738615,24.9021978021978,32.10133679733329,0.41106481481903234,17.353209465774462,34.75698587127159,42.98054554513825,-0.055759778213053,LABS diario
3,Operativo,Regresión lineal,182,36.2085998261627,45.645348561358944,-0.19073281089729854,48.16483516483517,61.04620120301247,-1.1297986759337948,24.823577819283475,40.72158555729984,49.29961334514868,-0.3890193362007961,LABS diario
7,Estabilidad,Random Forest B,182,33.711046102165284,42.30361543945822,-0.022765891737484445,43.66593406593407,54.20973920040406,-0.6794841170615278,22.797835834078903,43.420251177394036,51.94452457287093,-0.5420583830537389,LABS diario
15,Estabilidad,Regresión lineal,182,40.871367030414795,51.116885305657696,-0.49331020013917204,43.104945054945055,54.839129869420475,-0.7187090970931653,5.181721080222143,35.94827315541602,44.43671874042164,-0.12850952881534083,LABS diario
30,Operativo,Random Forest A,182,34.71154017902732,43.386492375079015,-0.075797043338937,50.714835164835165,62.29194425189599,-1.2176093178014158,31.555451050552307,39.674568288854005,48.85690896140549,-0.3641849031089741,LABS diario
1,,Regresión lineal,58,17.715041732461412,21.839230382124025,0.6344108896769554,24.203855083161635,,,26.809007608107937,,,,SCADA diario
3,,Random Forest A,58,28.917212864428862,33.64583666058142,0.13227670613961628,49.617855894964485,,,41.720148235257476,,,,SCADA diario
7,,Random Forest A,58,28.566212585505685,32.87042487939307,0.17181143995908454,38.81337686682208,,,26.40111504978516,,,,SCADA diario
15,,Random Forest A,58,27.791785926248053,33.6152558418267,0.13385334278896677,44.709073361903826,,,37.83860000567766,,,,SCADA diario
30,,Regresión lineal,58,31.827871008218676,40.90500125772061,-0.28254145756578275,54.108370426552256,,,41.17754654721594,,,,SCADA diario
