Fecha,Year,Month,Day,V-TWAS_gal,V-PS_gal,V-HSW_gal,Dig1-T_degF,Dig2-T_degF,Dig1-pH,Dig2-pH,FOG_gal,SRT,HSW-VS_percent,HSW-COD_mgL,Dig1-alk_mgL,Dig2-alk_mgL,Dig1-VFA_mgL,Dig2-VFA_mgL,Dig1-FOS-TAC,Dig2-FOS-TAC,Q-influent_MGD,BOD-influent_mgL,TWAS-VS_percent,PS-VS_percent,Biogas,Tramo,Biogas_actual,Biogas_lag_1,Biogas_lag_2,Biogas_lag_3,Biogas_lag_7,Biogas_media_3d,Biogas_desv_3d,Biogas_media_7d,Biogas_desv_7d,Fecha_objetivo_D1,Biogas_D1,Fecha_objetivo_D3,Biogas_D3,Fecha_objetivo_D7,Biogas_D7,Fecha_objetivo_D15,Biogas_D15,Fecha_objetivo_D30,Biogas_D30,temperatura_baja_atipica,temperatura_alta_atipica,lodo_primario_atipico,tramo_observado
2020-01-01,2020,1,1,4583,15412,0,95.5,95.4,7.07,7.06,0,42.9,0.0,0.0,4399.0,4214.0,,,,,2.7,108.0,3.7,1.9,43.3,1,43.3,,,,,,,,,2020-01-02,62.8,2020-01-04,41.9,2020-01-08,50.7,2020-01-16,69.4,2020-01-31,78.9,0,0,0,1
2020-01-02,2020,1,2,7690,17232,0,95.3,95.4,7.31,7.24,7328,26.6,0.0,0.0,4285.0,4187.0,,,,,2.85,135.0,3.66,1.9,62.8,1,62.8,43.3,,,,,,,,2020-01-03,53.0,2020-01-05,32.5,2020-01-09,48.2,2020-01-17,72.7,2020-02-01,63.1,0,0,0,1
2020-01-03,2020,1,3,2516,15412,0,95.2,95.4,7.23,7.21,15537,25.6,0.0,0.0,4269.0,4084.0,,,,,2.7,184.0,3.56,2.3,53.0,1,53.0,62.8,43.3,,,53.03333333333333,9.75004273494908,,,2020-01-04,41.9,2020-01-06,57.8,2020-01-10,56.2,2020-01-18,47.2,2020-02-02,42.8,0,0,0,1
2020-01-04,2020,1,4,2429,15865,0,94.9,95.1,6.92,6.99,0,46.9,0.0,0.0,,,,,,,2.58,253.0,3.53,,41.9,1,41.9,53.0,62.8,43.3,,52.56666666666666,10.456736265839993,,,2020-01-05,32.5,2020-01-07,37.3,2020-01-11,56.7,2020-01-19,39.6,2020-02-03,49.6,0,0,0,1
2020-01-05,2020,1,5,2447,15556,0,95.7,95.7,6.98,6.98,0,47.7,0.0,0.0,,,,,,,2.69,135.7,3.49,,32.5,1,32.5,41.9,53.0,62.8,,42.46666666666667,10.26174124275862,,,2020-01-06,57.8,2020-01-08,50.7,2020-01-12,47.4,2020-01-20,60.5,2020-02-04,66.6,0,0,0,1
2020-01-06,2020,1,6,2818,15757,0,95.6,95.5,7.13,7.05,7948,32.3,0.0,0.0,,,,,,,2.81,153.0,3.47,3.26,57.8,1,57.8,32.5,41.9,53.0,,44.06666666666666,12.78840620770756,,,2020-01-07,37.3,2020-01-09,48.2,2020-01-13,84.4,2020-01-21,52.0,2020-02-05,65.3,0,0,0,1
2020-01-07,2020,1,7,3843,11511,0,95.4,95.6,7.13,7.08,0,55.9,0.0,0.0,,,,,,,2.82,401.0,3.41,2.79,37.3,1,37.3,57.8,32.5,41.9,,42.53333333333333,13.43738565842825,46.942857142857136,11.152706269908535,2020-01-08,50.7,2020-01-10,56.2,2020-01-14,87.4,2020-01-22,68.0,2020-02-06,52.0,0,0,0,1
2020-01-08,2020,1,8,2205,9881,0,95.9,95.9,7.12,7.44,15700,30.9,0.0,0.0,4323.0,4139.0,,,,,2.81,649.6,3.15,2.81,50.7,1,50.7,37.3,57.8,32.5,43.3,48.599999999999994,10.410091258005382,48.0,11.10045044131093,2020-01-09,48.2,2020-01-11,56.7,2020-01-15,82.3,2020-01-23,73.5,2020-02-07,60.3,0,0,0,1
2020-01-09,2020,1,9,2917,10708,0,95.7,95.1,7.16,7.16,2500,53.2,0.0,0.0,4529.0,4502.0,,,,,2.91,549.0,3.44,2.41,48.2,1,48.2,50.7,37.3,57.8,62.8,45.400000000000006,7.125307010929423,45.91428571428572,9.035749105899406,2020-01-10,56.2,2020-01-12,47.4,2020-01-16,69.4,2020-01-24,87.8,2020-02-08,53.7,0,0,0,1
2020-01-10,2020,1,10,3350,9600,0,95.6,95.8,7.2,7.08,12300,34.0,0.0,0.0,4545.0,4518.0,,,,,3.29,663.0,3.63,2.72,56.2,1,56.2,48.2,50.7,37.3,53.0,51.699999999999996,4.0926763859362385,46.37142857142857,9.521854561256138,2020-01-11,56.7,2020-01-13,84.4,2020-01-17,72.7,2020-01-25,55.4,2020-02-09,43.1,0,0,0,1
2020-01-11,2020,1,11,3216,18326,0,95.7,95.7,7.11,7.08,0,39.8,0.0,0.0,4769.0,4223.0,,,,,3.18,672.0,3.94,,56.7,1,56.7,56.2,48.2,50.7,41.9,53.70000000000001,4.769696007084745,48.48571428571428,9.994903463170383,2020-01-12,47.4,2020-01-14,87.4,2020-01-18,47.2,2020-01-26,42.3,2020-02-10,50.4,0,0,0,1
2020-01-12,2020,1,12,3730,10591,0,95.9,95.8,7.12,7.18,0,59.9,0.0,0.0,4730.0,4240.0,,,,,2.81,558.0,4.5,,47.4,1,47.4,56.7,56.2,48.2,32.5,53.43333333333334,5.230997355508173,50.614285714285714,7.22620891187733,2020-01-13,84.4,2020-01-15,82.3,2020-01-19,39.6,2020-01-27,35.5,2020-02-11,45.4,0,0,0,1
2020-01-13,2020,1,13,4702,10180,0,95.5,95.6,7.2,7.16,13000,30.8,0.0,0.0,4862.0,4422.0,,,,,2.99,339.0,3.16,2.92,84.4,1,84.4,47.4,56.7,56.2,57.8,62.833333333333336,19.24742407007582,54.41428571428571,14.731307768539384,2020-01-14,87.4,2020-01-16,69.4,2020-01-20,60.5,2020-01-28,74.2,2020-02-12,69.4,0,0,0,1
2020-01-14,2020,1,14,5037,19700,0,95.6,95.4,7.18,7.11,15250,21.5,0.0,0.0,4769.0,4350.0,,,,,3.12,461.0,3.64,2.86,87.4,1,87.4,84.4,47.4,56.7,37.3,73.06666666666666,22.278539748675957,61.57142857142858,17.02279983685747,2020-01-15,82.3,2020-01-17,72.7,2020-01-21,52.0,2020-01-29,77.6,2020-02-13,55.3,0,0,0,1
